,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,15.0,1.8,0.78,0.26,6.6,15.0,22.0,21.0,11.0,19.0,0.0,66.0,5.1,2.1,124.0,232.0,0.6,0.5
1,17.0,1.8,0.79,0.31,17.0,26.0,43.0,17.0,37.0,11.0,0.0,55.0,3.3,2.1,50.0,216.0,1.0,0.7
2,19.0,1.8,0.89,0.44,22.0,24.0,46.0,5.2,12.0,4.0,0.8,91.0,2.3,2.2,53.0,69.0,0.6,0.4
3,18.0,1.8,0.43,0.1,1.6,8.0,9.7,41.0,55.0,48.0,0.0,66.0,2.9,1.9,78.0,69.0,2.6,1.1
4,14.0,1.8,0.6,0.13,1.8,13.0,14.0,32.0,83.0,66.0,0.0,59.0,3.4,2.0,69.0,76.0,1.6,0.7
5,16.0,1.9,1.35,0.53,20.0,36.0,57.0,9.4,45.0,40.0,0.0,58.0,5.6,2.4,102.0,93.0,0.8,0.4
6,16.0,1.8,0.97,0.37,20.0,23.0,43.0,18.0,40.0,33.0,0.0,64.0,6.0,2.2,66.0,36.0,0.8,1.0
7,18.0,1.8,1.27,0.52,28.0,34.0,63.0,11.0,49.0,43.0,0.0,63.0,7.3,2.3,74.0,63.0,1.0,0.4
8,13.0,1.8,0.39,0.07,1.4,5.7,7.1,34.0,21.0,23.0,0.0,70.0,1.6,1.8,62.0,72.0,3.7,3.6
9,14.0,1.8,0.41,0.14,4.2,12.0,16.0,14.0,6.0,7.0,0.0,71.0,1.1,1.9,73.0,67.0,2.0,0.8
10,15.0,1.8,0.95,0.41,26.0,24.0,50.0,6.3,18.0,7.0,0.0,73.0,2.9,2.2,20.0,345.0,0.6,0.4
11,15.0,1.8,0.59,0.19,12.0,18.0,30.0,12.0,31.0,34.0,0.0,74.0,1.5,2.0,42.0,41.0,1.6,0.6
12,14.0,1.8,0.39,0.08,1.2,7.5,8.7,30.0,26.0,2.0,0.0,79.0,0.9,1.9,76.0,67.0,2.3,1.1
13,14.0,1.8,0.26,0.05,1.3,4.5,5.8,37.0,38.0,23.0,0.0,77.0,5.6,1.8,59.0,55.0,4.2,3.9
14,12.0,1.7,0.2,0.04,1.2,3.3,4.5,38.0,41.0,9.0,0.0,54.0,0.8,1.8,58.0,51.0,2.5,2.8
15,13.0,1.8,0.64,0.28,16.0,21.0,36.0,11.0,27.0,15.0,0.0,57.0,3.1,2.0,52.0,82.0,1.6,1.2
16,15.0,1.8,2.61,0.55,22.0,30.0,52.0,11.0,22.0,2.0,0.0,61.0,5.6,2.4,82.0,49.0,0.8,0.3
17,13.0,1.7,0.21,0.05,1.7,3.6,5.2,38.0,20.0,19.0,0.0,55.0,1.4,1.8,58.0,73.0,2.2,2.0
18,12.0,1.8,0.8,0.33,13.0,25.0,38.0,11.0,18.0,11.0,0.0,47.0,4.4,2.1,286.0,270.0,0.7,0.5
19,12.0,1.8,0.71,0.17,4.2,15.0,20.0,25.0,94.0,55.0,0.0,77.0,3.3,2.0,80.0,49.0,1.5,1.1
20,16.0,1.8,0.76,0.22,4.2,16.0,20.0,28.0,18.0,33.0,0.0,56.0,1.6,2.0,90.0,47.0,0.6,0.4
21,21.0,1.7,0.43,0.13,3.0,12.0,15.0,30.0,26.0,23.0,0.0,52.0,2.2,1.8,54.0,53.0,1.6,1.1
22,21.0,1.7,0.44,0.09,6.1,10.0,16.0,17.0,22.0,23.0,0.0,79.0,5.5,1.8,22.0,323.0,1.3,0.6
23,16.0,1.7,0.35,0.04,1.1,3.4,4.6,36.0,15.0,7.0,0.0,74.0,1.1,1.8,74.0,103.0,2.9,1.8
24,16.0,1.8,0.55,0.17,6.9,16.0,23.0,11.0,20.0,2.0,0.0,92.0,3.1,2.0,299.0,282.0,0.9,0.8
25,18.0,1.7,0.29,0.09,2.6,8.2,11.0,18.0,12.0,11.0,0.0,89.0,1.7,1.8,70.0,102.0,1.7,0.7
26,18.0,1.8,0.44,0.18,12.0,19.0,31.0,8.3,57.0,20.0,0.0,97.0,2.6,2.0,65.0,80.0,1.3,1.1
27,15.0,1.8,0.31,0.08,3.9,7.6,12.0,14.0,13.0,7.0,0.0,84.0,1.1,1.8,75.0,75.0,2.0,1.7
28,14.0,1.8,0.4,0.08,2.3,11.0,13.0,18.0,1.0,7.0,0.6,91.0,2.1,1.9,308.0,327.0,1.5,1.2
29,9.1,1.8,0.35,0.06,1.6,4.4,6.0,30.0,3.0,4.0,0.0,83.0,1.0,1.8,55.0,67.0,3.1,3.3
30,6.9,1.8,0.31,0.08,1.6,7.2,8.9,26.0,25.0,17.0,0.0,82.0,1.4,1.8,78.0,283.0,2.6,0.7
31,11.0,1.8,0.35,0.07,2.2,5.3,7.6,24.0,10.0,6.0,0.0,74.0,1.3,1.8,72.0,87.0,2.5,1.2
32,13.0,1.8,0.37,0.15,2.4,12.0,15.0,21.0,2.0,4.0,0.6,88.0,1.3,1.9,29.0,54.0,1.8,0.7
33,10.0,1.8,0.3,0.09,1.2,7.3,8.5,28.0,2.0,4.0,0.0,86.0,1.4,1.8,83.0,78.0,2.1,1.3
34,11.0,1.8,0.36,0.09,1.7,11.0,13.0,22.0,6.0,8.0,0.0,81.0,0.8,1.9,53.0,57.0,1.1,0.7
35,16.0,1.8,0.59,0.16,6.5,16.0,22.0,13.0,33.0,21.0,0.0,82.0,5.3,1.9,315.0,315.0,1.8,0.4
36,18.0,1.8,0.89,0.27,12.0,20.0,32.0,14.0,35.0,13.0,0.0,78.0,1.9,2.0,66.0,102.0,0.7,0.8
37,20.0,1.8,0.98,0.56,15.0,23.0,39.0,13.0,42.0,11.0,0.0,78.0,3.5,2.3,236.0,231.0,2.5,0.6
38,12.0,1.8,0.35,0.11,1.5,8.9,10.0,24.0,14.0,10.0,0.0,84.0,0.8,1.9,67.0,74.0,2.6,1.4
39,11.0,1.7,0.33,0.09,3.5,7.7,11.0,31.0,25.0,16.0,0.0,68.0,1.4,1.8,14.0,295.0,2.9,0.3
40,21.0,1.8,0.93,0.44,7.9,29.0,37.0,17.0,60.0,18.0,0.0,70.0,5.0,2.2,211.0,215.0,0.9,1.1
41,16.0,1.7,0.34,0.06,1.4,5.6,7.0,29.0,0.0,2.0,0.0,83.0,1.3,1.8,72.0,106.0,3.4,2.0
42,14.0,1.8,0.34,0.07,1.7,9.4,11.0,35.0,20.0,10.0,0.0,84.0,1.3,1.8,71.0,79.0,3.5,1.7
43,16.0,1.8,0.5,0.16,6.7,25.0,32.0,10.0,64.0,37.0,0.0,88.0,3.0,2.0,330.0,5.6,0.7,0.7
44,15.0,1.8,0.37,0.07,2.3,5.5,7.8,29.0,0.0,6.0,0.0,81.0,1.0,1.8,64.0,64.0,3.0,2.1
45,15.0,1.8,0.5,0.18,2.5,15.0,18.0,17.0,15.0,8.0,0.0,78.0,1.5,1.9,314.0,310.0,1.5,0.4
46,14.0,1.7,0.29,0.12,3.1,8.9,12.0,25.0,7.0,0.0,0.2,85.0,1.4,1.9,352.0,314.0,2.0,0.4
47,16.0,1.9,0.58,0.25,9.6,23.0,33.0,6.1,49.0,8.0,0.0,88.0,2.8,2.1,320.0,337.0,1.0,1.1
48,12.0,1.8,0.28,0.04,1.0,6.0,6.9,39.0,9.0,0.0,0.0,85.0,1.4,1.8,77.0,70.0,3.1,1.6
49,16.0,1.9,0.96,0.45,23.0,21.0,43.0,3.8,32.0,24.0,0.0,88.0,3.5,2.3,224.0,231.0,1.4,1.5
50,18.0,1.9,1.15,0.44,12.0,28.0,41.0,12.0,47.0,26.0,0.0,81.0,3.9,2.3,264.0,307.0,1.6,1.2
51,17.0,2.0,1.21,0.58,31.0,27.0,58.0,1.8,105.0,57.0,0.0,94.0,4.2,2.6,341.0,12.0,0.9,0.7
52,-11.2,1.8,0.49,0.16,3.2,17.0,20.0,21.0,30.0,7.0,2.6,96.0,3.6,1.9,306.0,305.0,3.3,1.6
53,15.0,1.8,0.48,0.07,1.3,5.2,6.6,45.0,73.0,48.0,0.0,55.0,2.2,1.9,57.0,56.0,3.1,3.1
54,18.0,1.9,1.17,0.47,7.6,32.0,39.0,28.0,136.0,76.0,0.0,66.0,5.9,2.4,216.0,225.0,3.0,1.7
55,17.0,1.9,1.06,0.38,7.4,30.0,37.0,9.5,85.0,56.0,0.4,72.0,5.8,2.3,224.0,303.0,1.0,0.8
56,20.0,1.8,1.05,0.31,16.0,28.0,44.0,22.0,75.0,34.0,0.0,67.0,6.5,2.1,286.0,245.0,1.3,0.2
57,21.0,1.8,1.14,0.41,17.0,29.0,45.0,13.0,53.0,13.0,0.0,71.0,2.5,2.2,357.0,275.0,1.0,0.4
58,24.0,1.9,1.47,0.56,12.0,32.0,44.0,13.0,93.0,51.0,0.0,71.0,4.1,2.4,280.0,339.0,1.0,0.6
59,24.0,1.7,0.49,0.2,3.3,15.0,18.0,19.0,74.0,46.0,0.0,65.0,2.8,1.9,68.0,58.0,1.7,0.9
60,19.0,1.7,0.4,0.06,0.9,7.1,8.0,38.0,17.0,5.0,0.0,88.0,1.6,1.7,45.0,75.0,1.9,0.8
61,20.0,1.7,0.44,0.11,4.1,11.0,16.0,23.0,15.0,1.0,0.0,73.0,2.1,1.8,299.0,308.0,1.9,1.0
62,20.0,1.7,0.56,0.21,3.2,17.0,20.0,19.0,41.0,27.0,0.0,82.0,2.0,1.9,141.0,192.0,1.6,0.9
63,20.0,1.7,0.33,0.07,1.1,7.7,8.8,40.0,31.0,19.0,0.0,58.0,1.2,1.7,87.0,81.0,2.3,0.9
64,21.0,1.7,0.56,0.15,3.6,12.0,16.0,46.0,67.0,54.0,0.0,70.0,2.9,1.8,327.0,323.0,1.3,0.6
65,21.0,1.8,0.6,0.18,3.6,17.0,21.0,32.0,44.0,29.0,0.0,62.0,2.1,1.9,212.0,209.0,2.9,1.3
66,18.0,1.6,0.37,0.06,1.3,6.8,8.0,53.0,57.0,45.0,1.6,84.0,1.0,1.7,72.0,63.0,2.5,2.6
67,22.0,1.7,0.72,0.21,11.0,21.0,32.0,12.0,10.0,13.0,0.0,80.0,1.9,1.9,2.7,339.0,0.8,0.3
68,24.0,1.7,0.5,0.2,5.7,16.0,22.0,30.0,55.0,28.0,0.0,69.0,3.2,1.9,315.0,311.0,2.8,1.3
69,24.0,1.7,0.44,0.16,15.0,20.0,35.0,14.0,35.0,12.0,0.0,62.0,9.1,1.8,310.0,315.0,2.3,1.7
70,22.0,1.8,0.52,0.19,5.8,20.0,26.0,30.0,80.0,54.0,0.0,79.0,4.4,2.0,306.0,295.0,1.6,1.1
71,26.0,1.7,0.6,0.22,2.8,15.0,18.0,53.0,47.0,40.0,0.0,47.0,2.3,1.9,223.0,212.0,2.9,2.2
72,26.0,1.6,0.42,0.11,2.9,10.0,13.0,39.0,71.0,36.0,0.0,59.0,4.8,1.7,200.0,205.0,4.9,4.0
73,22.0,1.6,0.32,0.1,1.7,10.0,12.0,27.0,27.0,21.0,0.0,71.0,1.5,1.7,67.0,319.0,2.6,0.7
74,22.0,1.7,0.52,0.22,6.7,21.0,27.0,22.0,41.0,35.0,0.0,65.0,6.1,1.9,285.0,294.0,2.1,1.2
75,22.0,1.8,0.45,0.12,2.9,14.0,17.0,45.0,102.0,32.0,0.0,79.0,3.0,1.9,293.0,229.0,1.5,1.0
76,25.0,1.7,0.38,0.25,2.2,11.0,13.0,48.0,48.0,14.0,0.0,67.0,3.1,2.0,203.0,218.0,3.1,2.9
77,25.0,1.7,0.38,0.13,2.0,9.1,11.0,39.0,48.0,28.0,0.0,67.0,3.0,1.8,179.0,159.0,1.6,1.4
78,24.0,1.7,0.45,0.13,3.2,12.0,15.0,15.0,71.0,31.0,0.0,81.0,2.5,1.9,337.0,328.0,1.1,0.4
79,26.0,1.7,0.44,0.09,2.4,9.8,12.0,36.0,52.0,30.0,0.0,63.0,3.7,1.8,306.0,302.0,1.6,0.6
80,22.0,1.8,0.69,0.26,2.9,19.0,22.0,25.0,52.0,19.0,0.2,89.0,2.0,2.1,336.0,271.0,1.3,0.3
81,24.0,1.7,0.43,0.1,2.7,8.8,12.0,30.0,28.0,0.0,0.0,73.0,1.8,1.8,338.0,318.0,2.2,0.9
82,25.0,1.7,0.51,0.24,4.0,13.0,17.0,26.0,45.0,2.0,0.0,74.0,3.4,1.9,320.0,313.0,2.0,0.8
83,24.0,1.8,0.52,0.18,4.3,14.0,18.0,30.0,24.0,12.0,0.0,81.0,2.3,2.0,243.0,209.0,1.9,1.7
84,20.0,1.7,0.34,0.08,1.8,8.1,9.8,39.0,7.0,-1.0,0.0,87.0,1.6,1.8,82.0,78.0,2.3,0.5
85,18.0,1.7,0.35,0.1,2.0,12.0,14.0,26.0,10.0,5.0,0.2,85.0,1.5,1.8,74.0,97.0,1.0,1.2
86,23.0,1.7,0.59,0.22,4.0,12.0,16.0,21.0,25.0,-1.0,0.0,85.0,2.0,1.9,216.0,226.0,2.0,0.8
87,24.0,1.7,0.32,0.05,2.0,7.1,9.2,25.0,33.0,8.0,0.0,77.0,2.2,1.7,78.0,158.0,0.8,1.3
88,23.0,1.9,0.67,0.31,8.2,22.0,30.0,12.0,25.0,44.0,0.0,94.0,3.0,2.2,315.0,319.0,2.1,1.6
89,26.0,1.7,0.59,0.23,4.2,15.0,19.0,24.0,36.0,14.0,0.0,74.0,4.2,2.0,214.0,204.0,2.2,1.8
90,30.0,1.6,0.28,0.09,2.2,8.1,10.0,34.0,36.0,2.0,0.0,47.0,2.1,1.7,196.0,205.0,3.0,2.8
91,30.0,1.6,0.18,0.16,2.5,5.3,7.8,25.0,32.0,0.0,0.0,53.0,1.4,1.8,192.0,202.0,5.8,4.6
92,28.0,1.6,0.5,0.27,7.9,10.0,18.0,13.0,26.0,0.0,0.0,73.0,3.2,1.9,201.0,205.0,2.3,2.3
93,29.0,1.6,0.2,0.14,3.4,4.6,8.0,18.0,15.0,15.0,0.0,61.0,2.9,1.7,189.0,199.0,4.6,4.4
94,29.0,1.6,0.21,0.12,3.8,5.5,9.3,17.0,42.0,6.0,0.0,65.0,3.7,1.7,189.0,185.0,4.5,4.5
95,27.0,1.6,0.26,0.05,3.3,5.8,9.0,20.0,12.0,15.0,0.0,84.0,3.0,1.7,170.0,176.0,2.9,2.4
96,29.0,1.7,0.43,0.19,5.2,9.2,14.0,23.0,57.0,7.0,0.0,68.0,4.2,1.8,208.0,205.0,3.9,3.0
97,28.0,1.6,0.32,0.11,3.7,6.5,10.0,16.0,1.0,12.0,0.0,72.0,3.2,1.7,198.0,198.0,4.1,3.9
98,27.0,1.8,0.84,0.52,12.0,20.0,32.0,7.7,55.0,3.0,0.0,76.0,4.8,2.3,207.0,199.0,3.5,2.6
99,28.0,1.6,0.15,0.01,2.4,4.3,6.7,21.0,55.0,4.0,0.0,67.0,1.7,1.6,175.0,171.0,5.4,4.4
100,28.0,1.7,0.56,0.29,4.0,13.0,16.0,31.0,51.0,28.0,0.0,76.0,5.1,2.0,209.0,232.0,2.8,2.7
101,29.0,1.6,0.2,0.04,2.2,3.3,5.5,22.0,7.0,6.0,0.0,64.0,2.1,1.6,186.0,188.0,3.5,4.1
102,28.0,1.6,0.2,0.03,2.9,5.6,8.5,17.0,47.0,12.0,0.0,71.0,3.1,1.6,175.0,190.0,2.4,2.4
103,27.0,1.7,0.56,0.35,3.6,13.0,16.0,29.0,27.0,14.0,0.0,80.0,3.7,2.0,208.0,204.0,3.2,2.0
104,28.0,1.6,0.28,0.08,2.4,5.8,8.3,44.0,15.0,11.0,0.0,70.0,2.9,1.7,186.0,192.0,3.8,4.1
105,25.0,1.6,0.24,0.06,2.2,7.3,9.5,19.0,2.0,2.0,0.6,85.0,2.9,1.6,116.0,123.0,4.3,2.9
106,28.0,1.6,0.7,0.33,7.2,14.0,21.0,22.0,34.0,2.0,0.0,75.0,3.9,2.0,201.0,190.0,2.1,1.6
107,27.0,1.6,0.18,0.05,1.8,4.1,5.9,19.0,23.0,2.0,0.0,82.0,3.0,1.6,26.0,332.0,1.1,0.5
108,29.0,1.6,0.28,0.07,1.6,5.4,7.0,30.0,19.0,0.0,0.0,71.0,2.2,1.7,330.0,318.0,1.4,0.7
109,26.0,1.6,0.24,0.09,1.9,7.3,9.3,20.0,15.0,6.0,0.0,83.0,2.8,1.7,66.0,334.0,1.9,1.1
