,0
0,30
1,22
2,9
3,50
4,57
5,45
6,29
7,40
8,16
9,8
10,17
11,32
12,11
13,16
14,15
15,33
16,18
17,9
18,11
19,57
20,21
21,15
22,34
23,0
24,2
25,10
26,25
27,9
28,10
29,0
30,23
31,4
32,1
33,6
34,3
35,21
36,19
37,21
38,10
39,14
40,32
41,2
42,18
43,37
44,7
45,14
46,0
47,18
48,0
49,31
50,36
51,80
52,5
53,47
54,78
55,62
56,45
57,29
58,57
59,47
60,6
61,0
62,28
63,23
64,59
65,41
66,35
67,13
68,35
69,12
70,59
71,43
72,34
73,24
74,41
75,33
76,15
77,33
78,41
79,27
80,29
81,11
82,7
83,10
84,-1
85,-1
86,-1
87,6
88,34
89,6
90,0
91,0
92,0
93,16
94,6
95,9
96,14
97,12
98,8
99,0
100,25
101,13
102,2
103,14
104,15
105,3
106,4
107,0
108,8
109,4
110,9
111,4
112,25
113,7
114,42
115,8
116,4
117,20
118,21
119,10
120,41
121,15
122,20
123,50
124,28
125,23
126,20
127,4
128,22
129,9
130,14
131,6
132,8
133,7
134,21
135,8
136,29
137,25
138,14
139,15
140,20
141,18
142,24
143,12
144,6
145,11
146,33
147,3
148,13
149,3
150,8
151,1
152,1
153,7
154,6
155,15
156,22
157,18
158,5
159,14
160,10
161,27
162,21
163,18
164,15
165,28
166,22
167,34
168,6
169,4
170,15
171,19
172,9
173,15
174,28
175,20
176,25
177,19
178,37
179,39
180,42
181,16
182,12
183,19
184,1
185,27
186,30
187,11
188,6
189,4
190,13
191,24
192,28
193,22
194,26
195,22
196,42
197,55
198,45
199,26
200,55
201,38
202,10
203,6
204,20
205,23
206,37
207,29
208,5
209,12
210,23
211,6
212,17
213,14
214,6
215,14
216,-1
217,47
218,14
219,20
220,0
221,21
222,20
223,0
224,21
225,1
226,3
227,24
228,13
229,12
230,1
231,4
232,17
233,14
234,27
235,21
236,23
237,8
238,24
239,8
