,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,PM2.5_10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,date
0,15,1.8,0.78,0.26,6.6,15,22,21,11,19,30,NR,66,5.1,2.1,124,232,0.6,0.5,2014/1/1
1,17,1.8,0.79,0.31,17,26,43,17,37,11,22,NR,55,3.3,2.1,50,216,1,0.7,2014/1/2
2,19,1.8,0.89,0.44,22,24,46,5.2,12,4,9,0.8,91,2.3,2.2,53,69,0.6,0.4,2014/1/3
3,18,1.8,0.43,0.1,1.6,8,9.7,41,55,48,50,NR,66,2.9,1.9,78,69,2.6,1.1,2014/1/4
4,14,1.8,0.6,0.13,1.8,13,14,32,83,66,57,NR,59,3.4,2,69,76,1.6,0.7,2014/1/5
5,16,1.9,1.35,0.53,20,36,57,9.4,45,40,45,NR,58,5.6,2.4,102,93,0.8,0.4,2014/1/6
6,16,1.8,0.97,0.37,20,23,43,18,40,33,29,NR,64,6,2.2,66,36,0.8,1,2014/1/7
7,18,1.8,1.27,0.52,28,34,63,11,49,43,40,NR,63,7.3,2.3,74,63,1,0.4,2014/1/8
8,13,1.8,0.39,0.07,1.4,5.7,7.1,34,21,23,16,NR,70,1.6,1.8,62,72,3.7,3.6,2014/1/9
9,14,1.8,0.41,0.14,4.2,12,16,14,6,7,8,NR,71,1.1,1.9,73,67,2,0.8,2014/1/10
10,15,1.8,0.95,0.41,26,24,50,6.3,18,7,17,NR,73,2.9,2.2,20,345,0.6,0.4,2014/1/11
11,15,1.8,0.59,0.19,12,18,30,12,31,34,32,NR,74,1.5,2,42,41,1.6,0.6,2014/1/12
12,14,1.8,0.39,0.08,1.2,7.5,8.7,30,26,2,11,NR,79,0.9,1.9,76,67,2.3,1.1,2014/1/13
13,14,1.8,0.26,0.05,1.3,4.5,5.8,37,38,23,16,NR,77,5.6,1.8,59,55,4.2,3.9,2014/1/14
14,12,1.7,0.2,0.04,1.2,3.3,4.5,38,41,9,15,NR,54,0.8,1.8,58,51,2.5,2.8,2014/1/15
15,13,1.8,0.64,0.28,16,21,36,11,27,15,33,NR,57,3.1,2,52,82,1.6,1.2,2014/1/16
16,15,1.8,2.61,0.55,22,30,52,11,22,2,18,NR,61,5.6,2.4,82,49,0.8,0.3,2014/1/17
17,13,1.7,0.21,0.05,1.7,3.6,5.2,38,20,19,9,NR,55,1.4,1.8,58,73,2.2,2,2014/1/18
18,12,1.8,0.8,0.33,13,25,38,11,18,11,11,NR,47,4.4,2.1,286,270,0.7,0.5,2014/1/19
19,12,1.8,0.71,0.17,4.2,15,20,25,94,55,57,NR,77,3.3,2,80,49,1.5,1.1,2014/1/20
20,16,1.8,0.76,0.22,4.2,16,20,28,18,33,21,NR,56,1.6,2,90,47,0.6,0.4,2014/2/1
21,21,1.7,0.43,0.13,3,12,15,30,26,23,15,NR,52,2.2,1.8,54,53,1.6,1.1,2014/2/2
22,21,1.7,0.44,0.09,6.1,10,16,17,22,23,34,NR,79,5.5,1.8,22,323,1.3,0.6,2014/2/3
23,16,1.7,0.35,0.04,1.1,3.4,4.6,36,15,7,0,NR,74,1.1,1.8,74,103,2.9,1.8,2014/2/4
